Title,Sector,Pay (LPA) ,Skills
Mechanical Engineer,Engineering,150000,"Mechanical Engineering, Incremental Technical, Project Leadership, AutoCad, 3D design"
Vice Principal ,Education and Training,800000,"Bachelor of Education (B.Ed),  Coordinator"
Digital Marketing Analyst,"Advertising, Marketing & Sales",180000,"Social Media, Digital Marketing, CRM, Web Analytics, Google Adwords, SQL"
Operations Executive,Engineering,150000,"Inventory Management, Logistics Management, Supply Chain, Back Office Operations"
Pharmaceutical Research Scientist,Pharmaceutical,330000,"Research, Data Analysis"
Ground Staff & Air Ticketing,Aviation,210000,"Ground Handling, Air Ticketing, "
Accountant,"Banking, Accounting & Financial Services",2000000,"Accounting, Balance Sheet, Auditing, Profit & Loss Statement"
Agriculture Officer,Agriculture,150000,"Harvesting, Inspection Farming, Organic Farming"
Interior Designer,Services,240000,"Architect, Interior Designing, AutoCad, Space Designer"
Data Analyst,IT,450000,"Python, MongoDB, Hive , Spark"
Cashier & Accountant,Retail,310000,"Cash Handling, Petty Cash, Cash Collection"
Marketing Representative,"Advertising, Marketing & Sales",200000,"Marketing, Sales Associate, Social Media"
Business Development Manager,"Recruitment, Staffing & HR",200000,"Client Acquisition, Sales, Account Management, Corporate Sales"
Credit Risk Analyst,"Banking, Accounting & Financial Services",900000,"Credit Risk Modelling, Investment Banking, Business Analysis, Excel,"
F&B Associate ,Services,100000,"Hotel Management, Steward Activities, Kitchen Operations"
Manufacturing Managers,Manufacturing,1500000,"Production Management. Production Control, Engineer"
Civil Engineer,Infrastructure,100000,"Civil Engineering Degree, Construction, AutoCad, Site Investigation"
Quality Manager,FMCG,700000,"Bachelors Degree,Quality Control, Quality Analysis, Quality Assurance"
Information Security Engineer,IT,500000,"Cisco AAA,Malware Analyisis,Network Protocols Experience,Bachelors of Technology IT"
Steward / Waiter,Services,120000,12th pass
Draftsman for Manufacturing,Manufacturing,400000,"AutoCAD,Machinery,Design Drawings,Bachelors of Technology Mechanical"
Fashion Designer,Textile,250000,"Fashion Design,Bachelors of Design Fashion Design,Diploma"
Sales Executive,"Advertising, Marketing and Sales",240000,"Marketing,Business Development,Bachelors of Arts"
Chef / Cook,Tourism and Hospitality,580000,"Bachelors in Hotel Management,International Cuisine "
Legal Consultant,Other,450000,"Legal Advisor,Claim Settlements,Legal Counsellor,Bachelors of Law (LLB)"
HR Recruiter,"Recruitement, Staffing and HR",350000,"Recruitment Executive,Bachellors Degree"
Jewellry Designer,Gems and Jewellery,300000,"Jewellery Design,Fashion Design, Fine Art"
Production Engineer,Other,200000,Bachelors of Technology
Civil Engineer,Construction,400000,Bachelors of Technology Civil Engineering
Customer Realtions Manager,Real Estate,400000,"Customer Service, Customer Support, Customer Care, Real Estate"
SEO Ananlyst,IT,350000,"SEO, Webmaster Tools, Internet Marketing, XML sitemaps"
Copy Editor - Book Publishing,Media and Entertainment,400000,"Copy Editor, Publishing editors, Stylistic Suggestions"
Procurement Executive,Retail,160000,"Vendor Management, Purchase, Logistics, Warehouse"
